,linux time (ms),uptime  (ms),drive mode ,mpc step counter,mpc origin latitude  (deg),mpc origin longitude  (deg),closest trajectory point index to robot  ,"mpc error x (W,E)  (m)","mpc error y (W,E)  (m)",abs mpc error (m),"input ""x"" for mhe (m)","input ""y"" for mhe (m)","input ""speed"" for mhe (m/s)","input ""vyaw"" for mhe (rad/s)",mhe output x  (m),mhe output y  (m),mhe output speed  (m/s),mhe output yaw  (rad),mpc reference heading (rad),mpc turn rate command (rad/s),turn rate command as PWM,throttle command as PWM ,primary gps latitude (deg),primary gps longitude (deg),secondary gps latitude  (deg),secondary gps longitude (deg),accelerometer x (m/s^2),accelerometer y (m/s^2),accelerometer z (m/s^2),gyro yaw rate (rad/s),gyro pitch rate   (rad/s),gyro roll rate (rad/s),yaw (rad),pitch   (rad),roll (rad),sonar1 measurement (m),ultrasonic sensor measurement (m),primary gps time (s),normalized turn rate command,normalized throttle command ,speed calculation from encoder left (m/s),speed calculation from encoder right (m/s),front gimbal target angle (degrees from straight down),left gimbal target angle  (degrees from straight down),right gimbal target angle  (degrees from straight down) ,front gimbal measured angle  (degrees from straight down),left gimbal measured angle    (degrees from straight down),right gimbal measured angle  (degrees from straight down),internal temperature (C),battery voltage (V),primary gps type,secondary gps type,MPC R value,MPC Q[0] value,weed_num,start
27,1527886331517,1099517, RC,0,40.0483048792,-88.2326839842,0,1.7940173948,22.1655988914,22.238081586,2.194157832,19.7879674514,0.1977290362,0.2256710776,1.9567556521,19.7905282347,0.1699178665,2.0026805954,0,0,1500,1578,40.0484828367,-88.2327090137,40.0484838333,-88.232704,0.7845320106,-0.6864655018,-8.1395196915,-0.4002040028,-0.0607374583,0.1137954669,0,0,0,0,0,205146,0.0,0.1563489437,0.0831381604,0.3123199046,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,151,260
28,1527886331718,1099718, RC,0,40.0483048792,-88.2326839842,0,1.8249399935,22.1657289711,22.2407272094,2.22360809,19.793397471,0.1875206977,-0.0734783622,1.9876782508,19.7906583144,0.1714024675,2.0330108793,0,0,1500,1578,40.0484828855,-88.232709419,40.0484838333,-88.232704,-1.6671304703,1.5690640211,-6.9627213478,-0.2638937809,0.101054563,0.23404865,0,0,0,0,0,205146,0.0,0.1563489437,0.1316967309,0.2433446646,90,45,45,0,0,0,42.7559967041,16.5,0,2,10,1,134,269
29,1527886331918,1099918, RC,0,40.0483048792,-88.2326839842,0,1.856448676,22.1677827651,22.2453814175,2.2719261997,19.80851998,0.2027872205,0.0872664626,2.0191869333,19.7927121084,0.1735029492,2.00863894,0,0,1500,1578,40.0484830215,-88.2327099417,40.0484838333,-88.232704,0.0980665013,0.1961330026,-9.2182512283,-0.1160643969,0.0158824967,-0.0680678425,0,0,0,0,0,205146,0.0,0.1563489437,0.1804392487,0.2251352072,90,45,45,0,0,0,42.7559967041,16.5,0,2,10,1,128,278
30,1527886332119,1100119, RC,0,40.0483048792,-88.2326839842,0,1.8872400685,22.1695242527,22.2497074288,2.2939075404,19.8020892071,0.1998442709,-0.0766199518,2.0499783258,19.794453596,0.1758333981,2.0130841624,0,0,1517,1578,40.0484829637,-88.232710236,40.0484838333,-88.232704,0.8825985193,-1.0787315369,-9.7085838318,0.1054178862,-0.0085521135,-0.1404990081,0,0,0,0,0,205147,0.0342450142,0.1563489437,0.2001201808,0.1995683759,90,45,45,0,0,0,42.7559967041,16.5,0,2,10,1,146,287
31,1527886332320,1100320, RC,0,40.0483048792,-88.2326839842,0,1.920009396,22.170007008,22.2529918621,2.337853331,19.7905434676,0.1943262666,0.1085594758,2.0827476533,19.7949363513,0.1779581238,1.9874696251,0,0,1517,1578,40.0484828598,-88.2327107457,40.0484838333,-88.232704,0.1961330026,-0.0980665013,-9.0221185684,-0.0436332313,0.1085594758,-0.0404916375,0,0,0,0,0,205147,0.0342450142,0.1563489437,0.2163063735,0.1723461598,90,45,45,0,0,0,42.7559967041,16.5,0,2,10,1,175,296
32,1527886332521,1100521, RC,0,40.0483048792,-88.2326839842,0,1.9518299539,22.169919723,22.2556730002,2.3651936519,19.7800911443,0.191843152,-0.0308923274,2.1145682112,19.7948490663,0.1795759085,1.9951882178,0,0,1551,1578,40.0484827658,-88.2327111052,40.0484855,-88.2327023333,-0.588398993,-0.1961330026,-8.4337186813,0.0511381482,-0.0937241788,-0.2160717634,0,0,0,0,0,205147,0.1027350426,0.1563489437,0.2391141802,0.144572109,90,45,45,0,0,0,42.7559967041,16.5,0,2,10,1,108,306
33,1527886332721,1100721, RC,0,40.0483048792,-88.2326839842,0,1.9837494777,22.168829338,22.2574090183,2.3952627192,19.7717144605,0.1880725026,0.0914552488,2.146487735,19.7937586813,0.1814739684,1.9773330258,0,0,1500,1578,40.0484826905,-88.2327114468,40.0484855,-88.2327023333,0.1961330026,-0.8825985193,-8.4337186813,0.0617846549,-0.0553269386,-0.0158824967,0,0,0,0,0,205147,0.0,0.1563489437,0.2735098302,0.1026351675,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,161,315
34,1527886332924,1100924, RC,0,40.0483048792,-88.2326839842,0,2.0177721027,22.1672712899,22.2589155329,2.4646324095,19.7674705199,0.1897279024,0.0563741352,2.18051036,19.7922006332,0.181719219,1.9810825981,0,0,1500,1578,40.0484826523,-88.2327122887,40.0484855,-88.2327023333,-0.0980665013,0.9806650281,-8.9240512848,-0.0680678425,0.2129301654,-0.1384046067,0,0,0,0,0,205147,0.0,0.1563489437,0.2313889563,0.1480668634,90,45,45,0,0,0,42.2180023193,16.6000003815,0,2,10,1,156,324
35,1527886333125,1101125, RC,0,40.0483048792,-88.2326839842,0,2.0516087256,22.1648124091,22.2595599124,2.4842519565,19.7606505651,0.1903716922,-0.0872664626,2.2143469829,19.7897417524,0.1842350883,1.9780739207,0,0,1500,1578,40.048482591,-88.2327125135,40.0484855,-88.2327023333,-0.490332514,-0.490332514,-10.0027828217,0.2883284004,-0.0041887901,-0.0319395261,0,0,0,0,0,205148,0.0,0.1563489437,0.2039828002,0.1767605692,90,45,45,0,0,0,43.2939987183,16.6000003815,0,2,10,1,171,333
36,1527886333326,1101326, RC,0,40.0483048792,-88.2326839842,0,2.086430184,22.1620255156,22.2600216951,2.5184808562,19.7543680514,0.1878885627,0.0041887901,2.2491684413,19.7869548589,0.1863016283,1.9487832164,0,0,1500,1578,40.0484825345,-88.2327129202,40.0484855,-88.2327023333,0.2941994965,-0.3922660053,-10.0027828217,0.1384046067,0.0383972444,-0.2553416716,0,0,0,0,0,205148,0.0,0.1563489437,0.1946021616,0.1811749786,90,45,45,0,0,0,41.6790008545,16.6000003815,0,2,10,1,131,342
